City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
0,Kapaa,22.0752,-159.319,73.72,77,100,4.61,US,overcast clouds,2022-02-12 07:21:44
1,Hobyo,5.3505,48.5268,80.76,53,97,17.92,SO,overcast clouds,2022-02-12 07:21:45
2,Kodiak,57.79,-152.4072,38.71,75,0,3.44,US,clear sky,2022-02-12 07:21:46
3,Ushuaia,-54.8,-68.3,51.46,62,40,51.79,AR,scattered clouds,2022-02-12 07:21:46
4,Bredasdorp,-34.5322,20.0403,75.27,68,88,12.66,ZA,overcast clouds,2022-02-12 07:21:47
5,Hilo,19.7297,-155.09,69.12,90,0,1.99,US,clear sky,2022-02-12 07:21:47
6,Albany,42.6001,-73.9662,50.81,66,100,6.11,US,overcast clouds,2022-02-12 07:19:02
7,Hasaki,35.7333,140.8333,50.29,50,100,6.87,JP,overcast clouds,2022-02-12 07:21:48
8,Lebu,-37.6167,-73.65,56.21,68,0,11.27,CL,clear sky,2022-02-12 07:21:48
9,Vilyuysk,63.7553,121.6247,-8.75,98,100,1.74,RU,overcast clouds,2022-02-12 07:21:49
10,Arraial Do Cabo,-22.9661,-42.0278,73.31,85,99,5.17,BR,overcast clouds,2022-02-12 07:21:49
11,Jalu,29.0331,21.5482,52.59,51,0,7.05,LY,clear sky,2022-02-12 07:21:50
12,Turukhansk,65.8167,87.9833,-0.38,77,0,4.05,RU,clear sky,2022-02-12 07:21:50
13,Leningradskiy,69.3833,178.4167,-19.98,98,97,4.94,RU,overcast clouds,2022-02-12 07:21:51
14,Carnarvon,-24.8667,113.6333,91.47,58,17,18.41,AU,few clouds,2022-02-12 07:21:51
15,Ribeira Grande,38.5167,-28.7,61.2,67,20,10.36,PT,few clouds,2022-02-12 07:21:52
16,Busselton,-33.65,115.3333,76.08,46,6,9.91,AU,clear sky,2022-02-12 07:21:52
17,Punta Arenas,-53.15,-70.9167,55.51,62,75,40.29,CL,broken clouds,2022-02-12 07:21:52
18,Forestville,38.8451,-76.875,56.26,45,0,16.11,US,clear sky,2022-02-12 07:21:53
19,Portalegre,39.2938,-7.4312,43.5,82,100,0.98,PT,overcast clouds,2022-02-12 07:21:53
20,Tougue,11.4667,-11.6,59.4,21,8,2.98,GN,clear sky,2022-02-12 07:21:54
21,Dinguiraye,11.3,-10.7167,63.41,19,24,3.44,GN,few clouds,2022-02-12 07:21:54
22,Hithadhoo,-0.6,73.0833,81.27,69,40,5.28,MV,scattered clouds,2022-02-12 07:21:15
23,Asau,46.4333,26.4,36.75,77,100,3.69,RO,overcast clouds,2022-02-12 07:21:55
24,Kaitangata,-46.2817,169.8464,54.93,69,66,11.16,NZ,broken clouds,2022-02-12 07:21:55
25,Coihaique,-45.5752,-72.0662,50.61,81,28,3.44,CL,scattered clouds,2022-02-12 07:21:56
26,Qaanaaq,77.484,-69.3632,-22.61,51,0,7.94,GL,clear sky,2022-02-12 07:21:56
